CourseTitle ,Term ,Faculty ,CourseSection ,Area ,Campus ,Meeting Pattern ,Class ,InstructorOverall ,Learning ,Difficulty ,Global ,Examples ,Workload ,Total Responses ,Number of enrollees
Strategic Decisions: A Guide to Making Winning Choices ,Fall 2018 ,"Leinwand, Paul" ,STRT-960-0 (51) ,STRT ,Evanston ,Fri 1:30PM - 4:30PM ,4.1 ,4.7 ,4.6 ,4.2 ,4.4 ,4.9 ,2.4 ,27 ,44
Launching New Products and Services ,Fall 2018 ,"Maimaran, Michal" ,MKTG-465-0 (32) ,MKTG ,Evanston ,Tue/Fri 10:30AM - 12:00PM ,4.1 ,4.7 ,4.6 ,4.1 ,4.7 ,5.1 ,2.2 ,38 ,47
Legal Issues In Real Estate ,Fall 2018 ,"Dana, David" ,REAL-447-0 (91) ,REAL ,Chicago ,Wed 6:00PM - 9:00PM ,4.1 ,4.2 ,4.8 ,4.2 ,4.5 ,5.0 ,1.6 ,13 ,23
Negotiation Strategies ,Fall 2018 ,"Stephens, Nicole" ,MORSX-470-0 (LN) ,MORSX ,Evanston ,TBA  ,4.1 ,3.9 ,4.7 ,4.4 ,4.2 ,4.4 ,3.3 ,60 ,71
Political Economy I: Budget Deficits: A Political Economy View ,Fall 2018 ,"Persico, Nicola" ,MECS-540-1 (21) ,MECS ,Evanston ,Tue 3:30PM - 6:30PM ,4.0 ,5.0 ,5.0 ,5.0 ,5.0 ,5.0 ,5.0 ,1 ,3
Real Estate Entrepreneurship ,Fall 2018 ,"Bennett, William" ,REAL-465-0 (81) ,REAL ,Chicago ,Tue 6:00PM - 9:00PM ,4.0 ,4.5 ,4.3 ,4.6 ,4.1 ,4.8 ,3.6 ,14 ,31
Leadership and Crisis Management ,Fall 2018 ,"Feddersen, Timothy" ,KPPI-440-5 (37) ,KPPI ,Evanston ,Mon-Fri 8:30AM - 11:30AM ,4.0 ,4.4 ,4.5 ,4.0 ,5.4 ,5.2 ,2.0 ,55 ,66
Strategic Decisions: A Guide to Making Winning Choices ,Fall 2018 ,"Mainardi, Cesare" ,STRT-960-0 (51) ,STRT ,Evanston ,Fri 1:30PM - 4:30PM ,4.0 ,4.4 ,4.5 ,3.9 ,4.5 ,4.9 ,2.4 ,27 ,44
Accounting for Decision Making ,Fall 2018 ,"Leone, Andrew" ,ACCTM-430-0 (1) ,ACCTM ,Chicago ,Tue 1:30PM - 4:30PM ,4.0 ,4.3 ,4.5 ,4.5 ,4.3 ,4.8 ,2.8 ,4 ,18
Business Strategy ,Fall 2018 ,"Moore, Michael" ,STRT-431-0 (61) ,STRT ,Chicago ,Thu 6:00PM - 9:00PM ,4.0 ,4.1 ,4.3 ,4.6 ,5.0 ,5.2 ,3.0 ,10 ,30
Decision Making and Modeling ,Fall 2018 ,"Al-Najjar, Nabil" ,MECN-451-0 (31) ,MECN ,Evanston ,Mon/Thu 1:30PM - 3:00PM ,3.9 ,4.4 ,4.3 ,4.4 ,3.8 ,4.5 ,2.9 ,29 ,37
Leadership and Crisis Management ,Fall 2018 ,"Feddersen, Timothy" ,KPPI-440-5 (35) ,KPPI ,Evanston ,Mon-Fri 1:30PM - 4:30PM ,3.9 ,4.3 ,4.4 ,4.0 ,5.0 ,4.9 ,2.0 ,50 ,69
Services Marketing and Management ,Fall 2018 ,"Jami, Ata" ,MKTG-459-5 (81) ,MKTG ,Chicago ,Wed 6:00PM - 9:00PM ,3.9 ,4.1 ,4.2 ,4.0 ,4.1 ,4.7 ,2.3 ,22 ,24
Accounting For Decision Making ,Fall 2018 ,"Sridharan, Swaminathan" ,ACCT-430-0 (33) ,ACCT ,Evanston ,Mon/Thu 1:30PM - 3:00PM ,3.9 ,4.1 ,4.4 ,4.2 ,4.7 ,5.1 ,2.2 ,47 ,59
Negotiation Strategies ,Fall 2018 ,"Stephens, Nicole" ,MORSX-470-0 (LR) ,MORSX ,Evanston ,TBA  ,3.9 ,3.9 ,4.5 ,4.5 ,4.3 ,4.1 ,3.1 ,61 ,70
Entrepreneurial Finance and Venture Capital ,Fall 2018 ,"Sapienza, Paola" ,FINC-445-0 (41) ,FINC ,Evanston ,Tue 1:30PM - 4:30PM ,3.8 ,3.3 ,4.3 ,4.5 ,4.4 ,4.9 ,3.8 ,44 ,49
Accounting For Decision Making ,Fall 2018 ,"Dye, Ronald" ,ACCT-430-0 (35) ,ACCT ,Evanston ,Mon/Thu 1:30PM - 3:00PM ,3.7 ,4.3 ,4.3 ,4.0 ,4.1 ,4.6 ,2.4 ,48 ,60
Accounting For Decision Making ,Fall 2018 ,"Dye, Ronald" ,ACCT-430-0 (36) ,ACCT ,Evanston ,Mon/Thu 3:30PM - 5:00PM ,3.7 ,4.3 ,4.1 ,3.8 ,4.3 ,4.6 ,2.2 ,45 ,60
Leadership and Crisis Management ,Fall 2018 ,"Spenkuch, Jorg" ,KPPI-440-5 (34) ,KPPI ,Evanston ,Mon-Fri 8:30AM - 11:30AM ,3.7 ,4.0 ,4.4 ,3.7 ,5.1 ,5.0 ,1.9 ,42 ,69
Managerial Finance II ,Fall 2018 ,"Petersen, Mitchell" ,FINCX-441-0 (114) ,FINCX ,Evanston ,TBA  ,3.7 ,3.9 ,4.3 ,5.4 ,4.2 ,4.3 ,4.6 ,16 ,75
Accounting For Decision Making ,Fall 2018 ,"Sridharan, Swaminathan" ,ACCT-430-0 (32) ,ACCT ,Evanston ,Mon/Thu 10:30AM - 12:00PM ,3.6 ,4.2 ,4.3 ,4.0 ,5.0 ,5.1 ,2.4 ,51 ,60
Accounting For Decision Making ,Fall 2018 ,"Sridharan, Swaminathan" ,ACCT-430-0 (31) ,ACCT ,Evanston ,Mon/Thu 8:30AM - 10:00AM ,3.6 ,4.1 ,4.3 ,4.0 ,4.8 ,5.1 ,2.2 ,56 ,60
Negotiations Fundamentals ,Fall 2018 ,"Sackett, Esther" ,MORSM-472-5 (1) ,MORSM ,Chicago ,Mon 1:30PM - 4:30PM ,3.6 ,3.2 ,4.7 ,4.3 ,3.7 ,4.5 ,2.4 ,18 ,18
Microeconomic Analysis ,Fall 2018 ,"Mazumder, Bhashkar" ,MECN-430-0 (61) ,MECN ,Chicago ,Mon 6:00PM - 9:00PM ,3.4 ,3.1 ,4.1 ,4.4 ,4.9 ,4.8 ,3.4 ,8 ,22
Social Innovation: Designing for Change ,Fall 2018 ,"Palamountain, Kara" ,KPPI-452-0 (41) ,KPPI ,Evanston ,Thu 6:30PM - 9:30PM ,3.3 ,3.4 ,3.4 ,3.6 ,5.2 ,4.1 ,2.5 ,10 ,28
International Business Strategy ,Fall 2018 ,"Spulber, Daniel" ,STRT-460-0 (41) ,STRT ,Evanston ,Mon 6:30PM - 9:30PM ,3.3 ,3.3 ,3.9 ,3.4 ,4.7 ,4.6 ,2.4 ,42 ,58
Accounting For Decision Making ,Fall 2018 ,"Vincent, Linda" ,ACCT-430-0 (37) ,ACCT ,Evanston ,Mon/Thu 3:30PM - 5:00PM ,3.0 ,3.4 ,3.5 ,3.2 ,4.0 ,4.7 ,2.7 ,32 ,33
Accounting For Decision Making ,Fall 2018 ,"Vincent, Linda" ,ACCT-430-0 (34) ,ACCT ,Evanston ,Mon/Thu 1:30PM - 3:00PM ,2.9 ,3.1 ,3.5 ,3.0 ,3.8 ,4.5 ,2.5 ,53 ,61
Finance I ,Fall 2018 ,"Kueng, Lorenz" ,FINC-430-0 (34) ,FINC ,Evanston ,Mon/Thu 3:30PM - 5:00PM ,2.6 ,2.1 ,3.6 ,3.1 ,3.2 ,3.4 ,2.7 ,27 ,43
Finance I ,Fall 2018 ,"Kueng, Lorenz" ,FINC-430-0 (33) ,FINC ,Evanston ,Mon/Thu 1:30PM - 3:00PM ,2.2 ,1.9 ,3.2 ,3.0 ,3.0 ,3.4 ,2.7 ,48 ,66
Personal Leadership Insights ,Summer 2018 ,"Berger, Gail" ,KACI-461-5 (71) ,KACI ,Chicago ,Thu 6:00PM - 9:00PM ,6.0 ,6.0 ,6.0 ,6.0 ,5.7 ,5.7 ,2.8 ,6 ,10
Personal Leadership Insights ,Summer 2018 ,"Corona, Paul" ,KACI-461-5 (76) ,KACI ,Chicago ,Sat 1:30PM - 4:30PM ,6.0 ,6.0 ,6.0 ,5.9 ,5.2 ,5.5 ,2.9 ,11 ,12
Persuasive Presentations ,Summer 2018 ,"Van Camp, Karen" ,KACI-450-0 (70) ,KACI ,Chicago ,Sat 9:00AM - 12:00PM ,5.7 ,5.8 ,5.7 ,5.5 ,5.0 ,5.1 ,2.8 ,21 ,25
Business Law ,Summer 2018 ,"McCareins, Mark" ,BLAW-435-0 (70) ,BLAW ,Chicago ,Mon 6:00PM - 9:00PM ,5.7 ,5.8 ,5.8 ,5.4 ,5.4 ,5.8 ,2.2 ,53 ,57
New Venture Discovery ,Summer 2018 ,"Eschbach, Jeffrey" ,KIEI-462-0 (70) ,KIEI ,Chicago ,Tue 6:00PM - 9:00PM ,5.6 ,5.9 ,5.7 ,5.7 ,4.9 ,5.7 ,4.4 ,30 ,31
Personal Leadership Insights ,Summer 2018 ,"Murnane, Kevin" ,KACI-461-5 (72) ,KACI ,Chicago ,Thu 6:00PM - 9:00PM ,5.5 ,5.8 ,5.5 ,5.3 ,4.5 ,4.5 ,2.8 ,4 ,12
Leadership in Organizations ,Summer 2018 ,"Raider, Holly" ,MORS-430-0 (71) ,MORS ,Chicago ,Mon 6:00PM - 9:00PM ,5.5 ,5.6 ,5.6 ,5.5 ,4.9 ,5.5 ,3.0 ,52 ,53
Intl Practicum/Cross-Cultural Management Practice ,Summer 2018 ,"Dale, Donald" ,STRT-512-5 (61) ,STRT ,Evanston ,TBA  ,5.4 ,5.3 ,5.5 ,5.5 ,5.5 ,5.6 ,4.7 ,12 ,109
Leadership in Organizations ,Summer 2018 ,"Nordgren, Loran" ,MORS-430-0 (61) ,MORS ,Evanston ,Mon-Fri 8:30AM - 11:30AM ,5.3 ,5.6 ,5.4 ,5.1 ,4.7 ,5.3 ,3.9 ,66 ,70
Marketing Strategy for Growth and Defense ,Summer 2018 ,"Krishnamurthi, Lakshman" ,MKTG-466-0 (70) ,MKTG ,Chicago ,Sat 9:00AM - 12:00PM ,5.3 ,5.5 ,5.3 ,5.2 ,5.2 ,5.8 ,3.3 ,46 ,46
C Suite and Boardroom Dynamics ,Summer 2018 ,"Patel, Homi" ,MKTG-478-0 (70) ,MKTG ,Chicago ,Non-Standard Meetings ,5.3 ,5.5 ,5.3 ,5.0 ,5.3 ,5.5 ,2.3 ,40 ,45
Capital Markets ,Summer 2018 ,"Braun, Phillip" ,FINC-950-0 (70) ,FINC ,Chicago ,Sat 9:00AM - 12:00PM ,5.3 ,5.5 ,5.7 ,5.6 ,5.0 ,5.6 ,3.0 ,27 ,32
Financial Decisions ,Summer 2018 ,"Benmelech, Efraim" ,FINC-442-0 (70) ,FINC ,Chicago ,Thu 6:00PM - 9:00PM ,5.3 ,5.3 ,5.6 ,5.6 ,5.3 ,5.8 ,4.2 ,32 ,40
Advertising Strategy ,Summer 2018 ,"Sternthal, Brian" ,MKTG-454-0 (70) ,MKTG ,Chicago ,Mon 6:00PM - 9:00PM ,5.2 ,5.5 ,5.5 ,5.2 ,5.2 ,5.5 ,2.7 ,33 ,36
Leadership in Organizations ,Summer 2018 ,"Nordgren, Loran" ,MORS-430-0 (62) ,MORS ,Evanston ,Mon-Fri 1:00PM - 4:00PM ,5.2 ,5.5 ,5.4 ,5.0 ,4.5 ,5.4 ,3.6 ,68 ,71
Finance I ,Summer 2018 ,"Ofer, Aharon" ,FINC-430-0 (70) ,FINC ,Chicago ,Sat 1:30PM - 4:30PM ,5.2 ,5.3 ,5.5 ,5.5 ,5.2 ,5.2 ,3.5 ,23 ,44
Marketing Management ,Summer 2018 ,"Maoz, Eyal" ,MKTG-430-0 (71) ,MKTG ,Chicago ,Thu 6:00PM - 9:00PM ,5.2 ,5.3 ,5.2 ,5.1 ,5.7 ,5.4 ,2.8 ,50 ,63
Marketing Management ,Summer 2018 ,"Maoz, Eyal" ,MKTG-430-0 (76) ,MKTG ,Chicago ,Sat 9:00AM - 12:00PM ,5.2 ,5.3 ,5.4 ,5.1 ,5.6 ,5.5 ,2.9 ,27 ,28
Negotiations Fundamentals ,Summer 2018 ,"Hur, Julia" ,MORS-472-5 (70) ,MORS ,Chicago ,Tue 6:00PM - 9:00PM ,5.2 ,5.2 ,5.6 ,5.1 ,4.8 ,5.3 ,2.3 ,30 ,33
Competitive Strategy and Industrial Structure ,Summer 2018 ,"Saraniti, Brett" ,MECN-441-0 (71) ,MECN ,Chicago ,Thu 6:00PM - 9:00PM ,5.1 ,5.6 ,5.5 ,5.6 ,5.5 ,5.5 ,3.2 ,52 ,58
Business Strategy ,Summer 2018 ,"Swinkels, Jeroen" ,STRT-431-0 (62) ,STRT ,Evanston ,Tue/Fri 1:00PM - 4:00PM ,5.1 ,5.2 ,5.3 ,5.3 ,5.1 ,5.4 ,3.8 ,64 ,71
Negotiations Fundamentals ,Summer 2018 ,"Hwang, Seok Hyun" ,MORS-472-5 (79) ,MORS ,Chicago ,Thu 6:00PM - 9:00PM ,5.1 ,5.0 ,5.5 ,5.3 ,4.7 ,4.6 ,2.3 ,19 ,21
Accounting For Decision Making ,Summer 2018 ,"Dye, Ronald" ,ACCT-430-0 (61) ,ACCT ,Evanston ,Tue/Fri 8:30AM - 11:30AM ,5.0 ,5.7 ,5.2 ,4.8 ,4.6 ,5.6 ,2.4 ,34 ,47
Strategies for Growth ,Summer 2018 ,"Mazzeo, Michael" ,STRT-475-5 (70) ,STRT ,Chicago ,Mon 6:00PM - 9:00PM ,5.0 ,5.4 ,5.2 ,5.0 ,5.5 ,5.5 ,2.4 ,54 ,73
Business Strategy ,Summer 2018 ,"Swinkels, Jeroen" ,STRT-431-0 (61) ,STRT ,Evanston ,Tue/Fri 8:30AM - 11:30AM ,5.0 ,5.3 ,5.3 ,5.3 ,4.9 ,5.3 ,4.2 ,62 ,69
Accelerated Corporate Finance ,Summer 2018 ,"Ofer, Aharon" ,FINC-440-0 (92) ,FINC ,Evanston ,Non-Standard Meetings ,5.0 ,5.3 ,5.2 ,5.6 ,5.1 ,5.3 ,3.1 ,22 ,40
Leadership and Crisis Management ,Summer 2018 ,"Feddersen, Timothy" ,KPPI-440-5 (71) ,KPPI ,Chicago ,Non-Standard Meetings ,5.0 ,5.1 ,5.5 ,5.2 ,5.6 ,5.6 ,2.4 ,35 ,36
Ethics and Leadership ,Summer 2018 ,"Sandroni, Alvaro" ,KPPI-460-0 (70) ,KPPI ,Chicago ,Tue/Thu 6:00PM - 9:00PM ,5.0 ,5.1 ,5.1 ,5.1 ,5.6 ,5.6 ,2.4 ,7 ,8
Accounting For Decision Making ,Summer 2018 ,"Dye, Ronald" ,ACCT-430-0 (63) ,ACCT ,Evanston ,Non-Standard Meetings ,4.9 ,5.4 ,5.2 ,5.0 ,4.8 ,5.2 ,2.5 ,60 ,65
Accounting For Decision Making ,Summer 2018 ,"Dye, Ronald" ,ACCT-430-0 (62) ,ACCT ,Evanston ,Tue/Fri 1:00PM - 4:00PM ,4.9 ,5.3 ,5.1 ,4.8 ,4.3 ,5.3 ,2.4 ,36 ,49
Microeconomic Analysis ,Summer 2018 ,"Saraniti, Brett" ,MECN-430-0 (71) ,MECN ,Chicago ,Tue 6:00PM - 9:00PM ,4.9 ,5.2 ,5.3 ,5.2 ,5.4 ,5.5 ,3.0 ,47 ,59
Strategy Implementation ,Summer 2018 ,"Smith, Edward (Ned)" ,MORS-455-0 (61) ,MORS ,Evanston ,Mon/Thu 1:00PM - 4:00PM ,4.8 ,5.3 ,4.9 ,4.9 ,4.7 ,5.3 ,2.5 ,44 ,48
Business Strategy ,Summer 2018 ,"Moreira, Sara" ,STRT-431-0 (63) ,STRT ,Evanston ,Non-Standard Meetings ,4.8 ,5.0 ,5.4 ,5.3 ,5.2 ,5.1 ,3.3 ,55 ,69
Leadership in Organizations ,Summer 2018 ,"Colyvas, Jeannette" ,MORS-430-0 (76) ,MORS ,Chicago ,Sat 9:00AM - 12:00PM ,4.8 ,5.0 ,5.3 ,4.9 ,4.5 ,4.9 ,2.4 ,30 ,32
Business Strategy ,Summer 2018 ,"Moreira, Sara" ,STRT-431-0 (71) ,STRT ,Chicago ,Mon 6:00PM - 9:00PM ,4.8 ,4.8 ,5.2 ,4.8 ,5.0 ,5.1 ,2.8 ,13 ,16
"Growing Businesses, Growing People" ,Summer 2018 ,"Khosla, Sanjay" ,MKTG-935-5 (70) ,MKTG ,Chicago ,Sat 1:30PM - 4:30PM ,4.7 ,5.0 ,5.2 ,4.6 ,5.4 ,5.3 ,2.3 ,24 ,28
Competitive Strategy and Industrial Structure ,Summer 2018 ,"Saraniti, Brett" ,MECN-441-0 (70) ,MECN ,Chicago ,Sat 1:30PM - 4:30PM ,4.7 ,5.0 ,5.2 ,5.1 ,5.0 ,5.3 ,2.9 ,48 ,52
Business Analytics II ,Summer 2018 ,"Saraniti, Brett" ,DECS-431-0 (71) ,DECS ,Chicago ,Wed 6:00PM - 9:00PM ,4.7 ,5.0 ,5.0 ,5.0 ,5.0 ,5.1 ,2.9 ,23 ,34
Business Analytics I ,Summer 2018 ,"Gradwohl, Ronen" ,DECS-430-5 (71) ,DECS ,Chicago ,Thu 6:00PM - 9:00PM ,4.6 ,5.2 ,5.1 ,4.8 ,4.5 ,4.9 ,2.6 ,17 ,17
Social Dynamics and Network Analytics ,Summer 2018 ,"Youn, Hyejin" ,MORS-457-0 (70) ,MORS ,Chicago ,Wed 6:00PM - 9:00PM ,4.6 ,5.0 ,5.4 ,4.9 ,5.1 ,4.9 ,2.4 ,14 ,20
Accelerated Corporate Finance ,Summer 2018 ,"Ofer, Aharon" ,FINC-440-0 (91) ,FINC ,Evanston ,Non-Standard Meetings ,4.4 ,4.8 ,4.8 ,4.9 ,4.7 ,4.7 ,3.2 ,13 ,39
Business Analytics ,Summer 2018 ,"Saraniti, Brett" ,DECS-440-0 (61) ,DECS ,Evanston ,Non-Standard Meetings ,4.4 ,4.7 ,5.0 ,5.1 ,4.5 ,5.0 ,3.3 ,64 ,68
Managing Turnarounds ,Summer 2018 ,"Shein, James" ,STRT-934-0 (70) ,STRT ,Chicago ,Wed 6:00PM - 9:00PM ,4.4 ,4.4 ,4.9 ,4.8 ,5.0 ,5.2 ,2.9 ,43 ,55
Finance I ,Summer 2018 ,"Papanikolaou, Dimitris" ,FINC-430-0 (91) ,FINC ,Evanston ,Mon/Thu 6:00PM - 9:00PM ,4.3 ,4.6 ,4.9 ,4.7 ,4.4 ,4.6 ,3.0 ,60 ,67
Marketing Strategy for Growth and Defense ,Summer 2018 ,"Krishnamurthi, Lakshman" ,MKTG-466-0 (61) ,MKTG ,Evanston ,Mon/Thu 1:00PM - 4:00PM ,4.3 ,4.3 ,4.4 ,4.4 ,5.0 ,5.5 ,3.2 ,17 ,17
Marketing Research and Analytics ,Summer 2018 ,"Maoz, Eyal" ,MKTG-450-0 (70) ,MKTG ,Chicago ,Sat 1:30PM - 4:30PM ,4.1 ,4.4 ,4.9 ,4.7 ,5.0 ,4.7 ,3.6 ,16 ,18
Launching New Products and Services ,Summer 2018 ,"Maoz, Eyal" ,MKTG-465-0 (70) ,MKTG ,Chicago ,Tue 6:00PM - 9:00PM ,4.0 ,4.1 ,4.4 ,4.3 ,5.1 ,5.0 ,2.6 ,51 ,65
Leading the Strategic Change Process ,Summer 2018 ,"Hirsch, Paul" ,MORS-452-0 (70) ,MORS ,Chicago ,Wed 6:00PM - 9:00PM ,3.9 ,3.7 ,4.9 ,4.0 ,4.4 ,4.9 ,2.6 ,21 ,26
Operations Management (Turbo) ,Summer 2018 ,"Durango-Cohen, Elizabeth" ,OPNS-438-5 (61) ,OPNS ,Evanston ,Mon 8:30AM - 11:30AM ,3.6 ,3.9 ,4.5 ,4.3 ,4.1 ,4.2 ,2.6 ,22 ,35
Accounting For Decision Making ,Summer 2018 ,"Hu, Danqi" ,ACCT-430-0 (76) ,ACCT ,Chicago ,Sat 1:30PM - 4:30PM ,3.4 ,3.3 ,4.2 ,4.5 ,4.1 ,4.5 ,2.8 ,25 ,29
Operations Management ,Summer 2018 ,"Durango-Cohen, Elizabeth" ,OPNS-430-0 (71) ,OPNS ,Chicago ,Wed 6:00PM - 9:00PM ,3.2 ,3.6 ,4.1 ,4.1 ,3.8 ,4.1 ,2.7 ,55 ,62
Accounting For Decision Making ,Summer 2018 ,"Hu, Danqi" ,ACCT-430-0 (71) ,ACCT ,Chicago ,Tue 6:00PM - 9:00PM ,3.1 ,3.1 ,3.9 ,3.8 ,4.3 ,4.5 ,2.7 ,35 ,43
Political Economy III: Social Choice and Voting Models ,Spring 2018 ,"Egorov, Georgy" ,MECS-540-3 (21) ,MECS ,Evanston ,Wed 9:00AM - 12:00PM ,6.0 ,6.0 ,6.0 ,6.0 ,6.0 ,6.0 ,3.0 ,1 ,2
Political Economy IV: Topics in Development Economics ,Spring 2018 ,"Deserranno, Erika" ,MECS-540-4 (21) ,MECS ,Evanston ,Tue 2:00PM - 5:00PM ,6.0 ,6.0 ,6.0 ,6.0 ,6.0 ,6.0 ,3.0 ,1 ,3
Political Economy IV: Topics in Development Economics ,Spring 2018 ,"Morjaria, Ameet" ,MECS-540-4 (21) ,MECS ,Evanston ,Tue 2:00PM - 5:00PM ,6.0 ,6.0 ,6.0 ,6.0 ,6.0 ,6.0 ,3.0 ,1 ,3
Political Economy IV: Topics in Development Economics ,Spring 2018 ,"Qian, Nancy" ,MECS-540-4 (21) ,MECS ,Evanston ,Tue 2:00PM - 5:00PM ,6.0 ,6.0 ,6.0 ,6.0 ,6.0 ,6.0 ,4.0 ,1 ,3
Economics of Organizations II: Organizational Dynamics ,Spring 2018 ,"Barron, Daniel" ,MECS-570-2 (21) ,MECS ,Evanston ,Tue/Thu 4:00PM - 5:30PM ,6.0 ,6.0 ,6.0 ,6.0 ,5.4 ,6.0 ,2.6 ,7 ,7
Developing Impactful Consumer Research ,Spring 2018 ,"Chernev, Alexander" ,MKTG-531-3 (21) ,MKTG ,Evanston ,Mon 1:30PM - 4:30PM ,6.0 ,6.0 ,6.0 ,0.0 ,6.0 ,6.0 ,6.0 ,1 ,4
Developing Impactful Consumer Research ,Spring 2018 ,"Labroo, Aparna" ,MKTG-531-3 (21) ,MKTG ,Evanston ,Mon 1:30PM - 4:30PM ,6.0 ,6.0 ,6.0 ,6.0 ,6.0 ,6.0 ,6.0 ,1 ,4
Special Topics in Consumer Research ,Spring 2018 ,"Dong, Ping" ,MKTG-540-0 (21) ,MKTG ,Evanston ,Wed 3:30PM - 6:30PM ,6.0 ,6.0 ,6.0 ,6.0 ,6.0 ,6.0 ,6.0 ,1 ,4
Special Topics in Consumer Research ,Spring 2018 ,"Lee, Angela" ,MKTG-540-0 (21) ,MKTG ,Evanston ,Wed 3:30PM - 6:30PM ,6.0 ,6.0 ,6.0 ,6.0 ,6.0 ,6.0 ,6.0 ,1 ,4
Quantitative Marketing: Structural Modeling ,Spring 2018 ,"Gordon, Brett" ,MKTG-551-3 (21) ,MKTG ,Evanston ,Tue 1:30PM - 4:30PM ,6.0 ,6.0 ,6.0 ,6.0 ,6.0 ,6.0 ,4.5 ,4 ,5
Organizations in Their Environments ,Spring 2018 ,"Weber, Klaus" ,MORS-525-2 (21) ,MORS ,Evanston ,Wed 2:00PM - 5:00PM ,6.0 ,6.0 ,6.0 ,6.0 ,6.0 ,6.0 ,5.0 ,1 ,3
Accounting for Management Planning and Control ,Spring 2018 ,"Dye, Ronald" ,ACCTX-431-0 (111) ,ACCTX ,Off Campus ,TBA  ,6.0 ,6.0 ,5.7 ,5.7 ,5.0 ,6.0 ,3.0 ,3 ,51
Personal Leadership Insights ,Spring 2018 ,"Murnane, Kevin" ,KACI-461-5 (92) ,KACI ,Evanston ,Thu 6:30PM - 8:00PM ,6.0 ,6.0 ,5.8 ,5.8 ,5.5 ,5.3 ,2.0 ,4 ,11
Personal Leadership Insights ,Spring 2018 ,"Corona, Paul" ,KACI-461-5 (71) ,KACI ,Chicago ,Thu 6:00PM - 9:00PM ,6.0 ,5.9 ,5.8 ,6.0 ,5.6 ,6.0 ,2.9 ,11 ,11
Managerial Finance I ,Spring 2018 ,"Fishman, Michael" ,FINCX-430-0 (114) ,FINCX ,Evanston ,TBA  ,5.9 ,6.0 ,6.0 ,5.8 ,5.6 ,5.9 ,2.9 ,12 ,77
Family Enterprises: Success & Continuity ,Spring 2018 ,"Craig, Justin" ,STRTX-455-0 (MW1) ,STRTX ,Off Campus ,TBA  ,5.9 ,6.0 ,5.7 ,5.9 ,5.4 ,5.9 ,3.6 ,7 ,33
Marketing Strategy ,Spring 2018 ,"Chernev, Alexander" ,MKTGX-466-0 (112) ,MKTGX ,Evanston ,TBA  ,5.9 ,5.9 ,5.9 ,5.9 ,5.6 ,5.9 ,3.1 ,52 ,74
"Mergers and Acquisitions, LBOs and Corporate Restructuring" ,Spring 2018 ,"Liberti, Jose Maria" ,FINC-448-0 (80) ,FINC ,Evanston ,Tue 6:30PM - 9:30PM ,5.9 ,5.9 ,6.0 ,6.0 ,5.7 ,6.0 ,6.0 ,39 ,43
Economics of Competition ,Spring 2018 ,"Aaronson, Daniel" ,MECNX-441-0 (114) ,MECNX ,Evanston ,TBA  ,5.9 ,5.8 ,5.8 ,5.6 ,5.7 ,5.8 ,2.9 ,18 ,77
Launching and Leading Startups ,Spring 2018 ,"Cast, Carter" ,KIEI-967-0 (70) ,KIEI ,Chicago ,Mon 6:00PM - 9:00PM ,5.8 ,5.9 ,5.8 ,5.6 ,4.9 ,5.8 ,3.2 ,49 ,50
Visualization for Persuasion ,Spring 2018 ,"Franconeri, Steven" ,KACI-925-5 (80) ,KACI ,Evanston ,Fri 1:30PM - 4:30PM ,5.8 ,5.8 ,5.8 ,5.6 ,5.0 ,5.3 ,3.3 ,54 ,70
Personal Leadership Insights ,Spring 2018 ,"Carroll, Shana" ,KACI-461-5 (61) ,KACI ,Evanston ,Thu 3:30PM - 5:00PM ,5.8 ,5.8 ,5.5 ,5.7 ,5.2 ,5.0 ,2.7 ,12 ,12
Strategic Brand Management ,Spring 2018 ,"Chernev, Alexander" ,MKTGX-925-0 (MH) ,MKTGX ,Off Campus ,TBA  ,5.8 ,5.8 ,5.9 ,5.9 ,6.0 ,5.9 ,4.3 ,14 ,49
Foundations for Strategy Formulation ,Spring 2018 ,"Busse, Meghan" ,STRTX-431-0 (114) ,STRTX ,Evanston ,TBA  ,5.8 ,5.8 ,5.9 ,5.9 ,5.8 ,5.9 ,5.7 ,35 ,78
The World Economy ,Spring 2018 ,"Rebelo, Sergio" ,FINCX-450-0 (MW2) ,FINCX ,Off Campus ,TBA  ,5.8 ,5.7 ,5.8 ,5.5 ,5.9 ,6.0 ,2.2 ,28 ,75
International Finance ,Spring 2018 ,"Rebelo, Sergio" ,FINCX-470-0 (MH) ,FINCX ,Off Campus ,TBA  ,5.7 ,5.9 ,5.9 ,5.9 ,5.9 ,5.9 ,4.6 ,14 ,49
Personal Leadership Insights ,Spring 2018 ,"Ellington Booth, Brenda" ,KACI-461-5 (65) ,KACI ,Evanston ,Mon 3:30PM - 5:00PM ,5.7 ,5.9 ,5.7 ,5.7 ,4.9 ,5.3 ,2.5 ,12 ,12
Public Economics for Business Leaders: Federal Policy ,Spring 2018 ,"Besanko, David" ,KPPI-470-0 (70) ,KPPI ,Chicago ,Fri 6:00PM - 9:00PM ,5.7 ,5.9 ,5.7 ,5.9 ,6.0 ,5.8 ,4.2 ,40 ,46
Strategies for Growth ,Spring 2018 ,"Mazzeo, Michael" ,STRTX-955-0 (MW2) ,STRTX ,Off Campus ,TBA  ,5.7 ,5.9 ,5.8 ,5.6 ,5.8 ,5.9 ,3.8 ,21 ,47
