CourseTitle ,Term ,Faculty ,CourseSection ,Phase ,Area ,Campus ,Meeting Pattern ,Bids ,Closing Cost ,Seats Available ,Total seats ,Enrolled ,Program ,WaitList ,OpenSeats
Negotiations Fundamentals ,Summer 2018 ,"Hur, Julia" ,MORS-472-5 (70) ,Summer 2018 Bidding Phase I ,MORS ,Chicago ,Tue 6:00PM - 9:00PM ,3 ,0 ,5 ,5 ,3 ,Weekend ,0 ,2
Accounting For Decision Making ,Summer 2018 ,"Hu, Danqi" ,ACCT-430-0 (71) ,Summer 2018 Bidding Phase I ,ACCT ,Chicago ,Tue 6:00PM - 9:00PM ,7 ,0 ,58 ,65 ,7 ,Evening ,0 ,51
Accounting For Decision Making ,Summer 2018 ,"Hu, Danqi" ,ACCT-430-0 (71) ,Summer 2018 Bidding Phase II ,ACCT ,Chicago ,Tue 6:00PM - 9:00PM ,3 ,0 ,52 ,65 ,3 ,Evening ,0 ,49
Business Analytics I ,Summer 2018 ,"Gradwohl, Ronen" ,DECS-430-5 (71) ,Summer 2018 Bidding Phase I ,DECS ,Chicago ,Thu 6:00PM - 9:00PM ,15 ,0 ,65 ,65 ,15 ,Evening ,0 ,50
Business Analytics I ,Summer 2018 ,"Gradwohl, Ronen" ,DECS-430-5 (71) ,Summer 2018 Bidding Phase II ,DECS ,Chicago ,Thu 6:00PM - 9:00PM ,1 ,0 ,51 ,65 ,1 ,Evening ,0 ,50
Financial Decisions ,Summer 2018 ,"Benmelech, Efraim" ,FINC-442-0 (70) ,Summer 2018 Bidding Phase I ,FINC ,Chicago ,Thu 6:00PM - 9:00PM ,42 ,0 ,45 ,45 ,42 ,Evening ,0 ,3
Financial Decisions ,Summer 2018 ,"Benmelech, Efraim" ,FINC-442-0 (70) ,Summer 2018 Bidding Phase II ,FINC ,Chicago ,Thu 6:00PM - 9:00PM ,1 ,0 ,3 ,45 ,1 ,Evening ,0 ,2
Financial Decisions ,Summer 2018 ,"Benmelech, Efraim" ,FINC-442-0 (70) ,Summer 2018 Bidding Phase I ,FINC ,Chicago ,Thu 6:00PM - 9:00PM ,1 ,0 ,5 ,5 ,1 ,Weekend ,0 ,4
Financial Decisions ,Summer 2018 ,"Benmelech, Efraim" ,FINC-442-0 (70) ,Summer 2018 Bidding Phase II ,FINC ,Chicago ,Thu 6:00PM - 9:00PM ,1 ,0 ,4 ,5 ,1 ,Weekend ,0 ,3
Negotiations Fundamentals ,Summer 2018 ,"Hwang, Seok Hyun" ,MORS-472-5 (79) ,Summer 2018 Bidding Phase II ,MORS ,Chicago ,Thu 6:00PM - 9:00PM ,0 ,0 ,0 ,5 ,0 ,Weekend ,0 ,0
Negotiations Fundamentals ,Summer 2018 ,"Hwang, Seok Hyun" ,MORS-472-5 (79) ,Summer 2018 Bidding Phase I ,MORS ,Chicago ,Thu 6:00PM - 9:00PM ,15 ,0 ,31 ,31 ,15 ,Evening ,0 ,16
Negotiations Fundamentals ,Summer 2018 ,"Hwang, Seok Hyun" ,MORS-472-5 (79) ,Summer 2018 Bidding Phase II ,MORS ,Chicago ,Thu 6:00PM - 9:00PM ,2 ,0 ,17 ,31 ,2 ,Evening ,0 ,15
Competitive Strategy and Industrial Structure ,Summer 2018 ,"Saraniti, Brett" ,MECN-441-0 (71) ,Summer 2018 Bidding Phase I ,MECN ,Chicago ,Thu 6:00PM - 9:00PM ,59 ,0 ,65 ,65 ,59 ,Evening ,0 ,6
Marketing Management ,Summer 2018 ,"Maoz, Eyal" ,MKTG-430-0 (71) ,Summer 2018 Bidding Phase I ,MKTG ,Chicago ,Thu 6:00PM - 9:00PM ,46 ,0 ,60 ,65 ,46 ,Evening ,0 ,14
Marketing Management ,Summer 2018 ,"Maoz, Eyal" ,MKTG-430-0 (71) ,Summer 2018 Bidding Phase II ,MKTG ,Chicago ,Thu 6:00PM - 9:00PM ,2 ,0 ,15 ,65 ,2 ,Evening ,0 ,13
Marketing Strategy for Growth and Defense ,Summer 2018 ,"Krishnamurthi, Lakshman" ,MKTG-466-0 (70) ,Summer 2018 Bidding Phase I ,MKTG ,Chicago ,Sat 9:00AM - 12:00PM ,10 ,0 ,12 ,12 ,10 ,Evening ,0 ,2
Marketing Strategy for Growth and Defense ,Summer 2018 ,"Krishnamurthi, Lakshman" ,MKTG-466-0 (70) ,Summer 2018 Bidding Phase II ,MKTG ,Chicago ,Sat 9:00AM - 12:00PM ,1 ,0 ,4 ,12 ,1 ,Evening ,0 ,3
Marketing Management ,Summer 2018 ,"Maoz, Eyal" ,MKTG-430-0 (76) ,Summer 2018 Bidding Phase I ,MKTG ,Chicago ,Sat 9:00AM - 12:00PM ,22 ,0 ,64 ,65 ,22 ,Weekend ,0 ,42
Marketing Management ,Summer 2018 ,"Maoz, Eyal" ,MKTG-430-0 (76) ,Summer 2018 Bidding Phase II ,MKTG ,Chicago ,Sat 9:00AM - 12:00PM ,1 ,0 ,43 ,65 ,1 ,Weekend ,0 ,42
Marketing Strategy for Growth and Defense ,Summer 2018 ,"Krishnamurthi, Lakshman" ,MKTG-466-0 (70) ,Summer 2018 Bidding Phase II ,MKTG ,Chicago ,Sat 9:00AM - 12:00PM ,0 ,0 ,0 ,38 ,0 ,Weekend ,0 ,0
Leadership in Organizations ,Summer 2018 ,"Colyvas, Jeannette" ,MORS-430-0 (76) ,Summer 2018 Bidding Phase I ,MORS ,Chicago ,Sat 9:00AM - 12:00PM ,5 ,0 ,65 ,65 ,5 ,Weekend ,0 ,60
Capital Markets ,Summer 2018 ,"Braun, Phillip" ,FINC-950-0 (70) ,Summer 2018 Bidding Phase I ,FINC ,Chicago ,Sat 9:00AM - 12:00PM ,21 ,0 ,45 ,45 ,21 ,Weekend ,0 ,24
Capital Markets ,Summer 2018 ,"Braun, Phillip" ,FINC-950-0 (70) ,Summer 2018 Bidding Phase II ,FINC ,Chicago ,Sat 9:00AM - 12:00PM ,2 ,0 ,25 ,45 ,2 ,Weekend ,0 ,23
Capital Markets ,Summer 2018 ,"Braun, Phillip" ,FINC-950-0 (70) ,Summer 2018 Bidding Phase I ,FINC ,Chicago ,Sat 9:00AM - 12:00PM ,14 ,0 ,20 ,20 ,14 ,Evening ,0 ,6
Capital Markets ,Summer 2018 ,"Braun, Phillip" ,FINC-950-0 (70) ,Summer 2018 Bidding Phase II ,FINC ,Chicago ,Sat 9:00AM - 12:00PM ,0 ,0 ,9 ,20 ,0 ,Evening ,0 ,9
Finance I ,Summer 2018 ,"Ofer, Aharon" ,FINC-430-0 (70) ,Summer 2018 Bidding Phase I ,FINC ,Chicago ,Sat 1:30PM - 4:30PM ,32 ,0 ,44 ,50 ,32 ,Weekend ,0 ,12
Finance I ,Summer 2018 ,"Ofer, Aharon" ,FINC-430-0 (70) ,Summer 2018 Bidding Phase II ,FINC ,Chicago ,Sat 1:30PM - 4:30PM ,2 ,0 ,14 ,50 ,2 ,Weekend ,0 ,12
Finance I ,Summer 2018 ,"Ofer, Aharon" ,FINC-430-0 (70) ,Summer 2018 Bidding Phase I ,FINC ,Chicago ,Sat 1:30PM - 4:30PM ,11 ,0 ,15 ,15 ,11 ,Evening ,0 ,4
Finance I ,Summer 2018 ,"Ofer, Aharon" ,FINC-430-0 (70) ,Summer 2018 Bidding Phase II ,FINC ,Chicago ,Sat 1:30PM - 4:30PM ,2 ,0 ,5 ,15 ,2 ,Evening ,0 ,3
Accounting For Decision Making ,Summer 2018 ,"Hu, Danqi" ,ACCT-430-0 (76) ,Summer 2018 Bidding Phase I ,ACCT ,Chicago ,Sat 1:30PM - 4:30PM ,6 ,0 ,62 ,65 ,6 ,Weekend ,0 ,56
Accounting For Decision Making ,Summer 2018 ,"Hu, Danqi" ,ACCT-430-0 (76) ,Summer 2018 Bidding Phase II ,ACCT ,Chicago ,Sat 1:30PM - 4:30PM ,1 ,0 ,57 ,65 ,1 ,Weekend ,0 ,56
"Growing Businesses, Growing People" ,Summer 2018 ,"Khosla, Sanjay" ,MKTG-935-5 (70) ,Summer 2018 Bidding Phase I ,MKTG ,Chicago ,Sat 1:30PM - 4:30PM ,14 ,0 ,20 ,20 ,14 ,Evening ,0 ,6
"Growing Businesses, Growing People" ,Summer 2018 ,"Khosla, Sanjay" ,MKTG-935-5 (70) ,Summer 2018 Bidding Phase II ,MKTG ,Chicago ,Sat 1:30PM - 4:30PM ,2 ,0 ,8 ,20 ,2 ,Evening ,0 ,6
"Growing Businesses, Growing People" ,Summer 2018 ,"Khosla, Sanjay" ,MKTG-935-5 (70) ,Summer 2018 Bidding Phase I ,MKTG ,Chicago ,Sat 1:30PM - 4:30PM ,23 ,0 ,45 ,45 ,23 ,Weekend ,0 ,22
"Growing Businesses, Growing People" ,Summer 2018 ,"Khosla, Sanjay" ,MKTG-935-5 (70) ,Summer 2018 Bidding Phase II ,MKTG ,Chicago ,Sat 1:30PM - 4:30PM ,5 ,0 ,27 ,45 ,5 ,Weekend ,0 ,22
Marketing Research and Analytics ,Summer 2018 ,"Maoz, Eyal" ,MKTG-450-0 (70) ,Summer 2018 Bidding Phase I ,MKTG ,Chicago ,Sat 1:30PM - 4:30PM ,15 ,0 ,45 ,45 ,15 ,Weekend ,0 ,30
Marketing Research and Analytics ,Summer 2018 ,"Maoz, Eyal" ,MKTG-450-0 (70) ,Summer 2018 Bidding Phase II ,MKTG ,Chicago ,Sat 1:30PM - 4:30PM ,2 ,0 ,31 ,45 ,2 ,Weekend ,0 ,29
Competitive Strategy and Industrial Structure ,Summer 2018 ,"Saraniti, Brett" ,MECN-441-0 (70) ,Summer 2018 Bidding Phase I ,MECN ,Chicago ,Sat 1:30PM - 4:30PM ,42 ,0 ,50 ,50 ,42 ,Weekend ,0 ,8
Competitive Strategy and Industrial Structure ,Summer 2018 ,"Saraniti, Brett" ,MECN-441-0 (70) ,Summer 2018 Bidding Phase II ,MECN ,Chicago ,Sat 1:30PM - 4:30PM ,1 ,0 ,9 ,50 ,1 ,Weekend ,0 ,8
Marketing Research and Analytics ,Summer 2018 ,"Maoz, Eyal" ,MKTG-450-0 (70) ,Summer 2018 Bidding Phase I ,MKTG ,Chicago ,Sat 1:30PM - 4:30PM ,4 ,0 ,20 ,20 ,4 ,Evening ,0 ,16
Marketing Research and Analytics ,Summer 2018 ,"Maoz, Eyal" ,MKTG-450-0 (70) ,Summer 2018 Bidding Phase II ,MKTG ,Chicago ,Sat 1:30PM - 4:30PM ,2 ,0 ,16 ,20 ,2 ,Evening ,0 ,14
Competitive Strategy and Industrial Structure ,Summer 2018 ,"Saraniti, Brett" ,MECN-441-0 (70) ,Summer 2018 Bidding Phase I ,MECN ,Chicago ,Sat 1:30PM - 4:30PM ,14 ,0 ,15 ,15 ,14 ,Evening ,0 ,1
Competitive Strategy and Industrial Structure ,Summer 2018 ,"Saraniti, Brett" ,MECN-441-0 (70) ,Summer 2018 Bidding Phase II ,MECN ,Chicago ,Sat 1:30PM - 4:30PM ,1 ,0 ,4 ,15 ,1 ,Evening ,0 ,3
Leadership and Crisis Management ,Summer 2018 ,"Feddersen, Timothy" ,KPPI-440-5 (71) ,Summer 2018 Bidding Phase I ,KPPI ,Chicago ,Non-Standard Meetings ,27 ,0 ,65 ,65 ,27 ,Evening ,0 ,38
Leadership and Crisis Management ,Summer 2018 ,"Feddersen, Timothy" ,KPPI-440-5 (71) ,Summer 2018 Bidding Phase II ,KPPI ,Chicago ,Non-Standard Meetings ,2 ,0 ,42 ,65 ,2 ,Evening ,0 ,40
Advertising Strategy ,Summer 2018 ,"Sternthal, Brian" ,MKTG-454-0 (70) ,Summer 2018 Bidding Phase I ,MKTG ,Chicago ,Mon 6:00PM - 9:00PM ,39 ,0 ,55 ,55 ,39 ,Evening ,0 ,16
Advertising Strategy ,Summer 2018 ,"Sternthal, Brian" ,MKTG-454-0 (70) ,Summer 2018 Bidding Phase II ,MKTG ,Chicago ,Mon 6:00PM - 9:00PM ,13 ,0 ,24 ,55 ,13 ,Evening ,0 ,11
Advertising Strategy ,Summer 2018 ,"Sternthal, Brian" ,MKTG-454-0 (70) ,Summer 2018 Bidding Phase I ,MKTG ,Chicago ,Mon 6:00PM - 9:00PM ,0 ,0 ,10 ,10 ,0 ,Weekend ,0 ,10
Advertising Strategy ,Summer 2018 ,"Sternthal, Brian" ,MKTG-454-0 (70) ,Summer 2018 Bidding Phase II ,MKTG ,Chicago ,Mon 6:00PM - 9:00PM ,0 ,0 ,10 ,10 ,0 ,Weekend ,0 ,10
Leadership in Organizations ,Summer 2018 ,"Raider, Holly" ,MORS-430-0 (71) ,Summer 2018 Bidding Phase I ,MORS ,Chicago ,Mon 6:00PM - 9:00PM ,2 ,0 ,65 ,65 ,2 ,Evening ,0 ,63
Business Strategy ,Summer 2018 ,"Moreira, Sara" ,STRT-431-0 (71) ,Summer 2018 Bidding Phase I ,STRT ,Chicago ,Mon 6:00PM - 9:00PM ,21 ,0 ,65 ,65 ,21 ,Evening ,0 ,44
Business Strategy ,Summer 2018 ,"Moreira, Sara" ,STRT-431-0 (71) ,Summer 2018 Bidding Phase II ,STRT ,Chicago ,Mon 6:00PM - 9:00PM ,1 ,0 ,48 ,65 ,1 ,Evening ,0 ,47
Business Law ,Summer 2018 ,"McCareins, Mark" ,BLAW-435-0 (70) ,Summer 2018 Bidding Phase I ,BLAW ,Chicago ,Mon 6:00PM - 9:00PM ,54 ,0 ,55 ,55 ,54 ,Evening ,0 ,1
Business Law ,Summer 2018 ,"McCareins, Mark" ,BLAW-435-0 (70) ,Summer 2018 Bidding Phase I ,BLAW ,Chicago ,Mon 6:00PM - 9:00PM ,8 ,0 ,10 ,10 ,8 ,Weekend ,0 ,2
Business Law ,Summer 2018 ,"McCareins, Mark" ,BLAW-435-0 (70) ,Summer 2018 Bidding Phase II ,BLAW ,Chicago ,Mon 6:00PM - 9:00PM ,1 ,0 ,3 ,10 ,1 ,Weekend ,0 ,2
Negotiations Fundamentals ,Spring 2018 ,"Stephens, Nicole" ,MORS-472-5 (63) ,Spring 2018 Bidding Phase II ,MORS ,Evanston ,Tue 1:30PM - 4:30PM ,68 ,2260 ,1 ,36 ,1 ,Full-Time ,67 ,0
Personal Leadership Insights ,Spring 2018 ,"Carroll, Shana" ,KACI-461-5 (60) ,Spring 2018 Bidding Phase II ,KACI ,Evanston ,Thu 10:30AM - 12:00PM ,39 ,2218 ,1 ,12 ,1 ,Full-Time ,38 ,0
Negotiations Fundamentals ,Spring 2018 ,"Finkel, Eli" ,MORS-472-5 (80) ,Spring 2018 Bidding Phase I ,MORS ,Evanston ,Fri 1:30PM - 4:30PM ,6 ,2101 ,2 ,2 ,2 ,Evening ,4 ,0
Marketing Strategy for Growth and Defense ,Spring 2018 ,"Hennessy, Julie" ,MKTG-466-0 (80) ,Spring 2018 Bidding Phase II ,MKTG ,Evanston ,Thu 6:30PM - 9:30PM ,127 ,1516 ,25 ,55 ,25 ,Full-Time ,102 ,0
Applied Real Estate Finance and Investments ,Spring 2018 ,"Furfine, Craig" ,FINC-455-0 (80) ,Spring 2018 Bidding Phase II ,FINC ,Evanston ,Tue 6:30PM - 9:30PM ,1 ,1500 ,1 ,12 ,1 ,Evening ,0 ,0
Personal Leadership Insights ,Spring 2018 ,"Corona, Paul" ,KACI-461-5 (71) ,Spring 2018 Bidding Phase I ,KACI ,Chicago ,Thu 6:00PM - 9:00PM ,21 ,1500 ,12 ,12 ,12 ,Evening ,9 ,0
Corporate Innovation and New Ventures ,Spring 2018 ,"DeBiase, Dean" ,KIEI-903-0 (30) ,Spring 2018 Bidding Phase I ,KIEI ,Chicago ,Mon 6:00PM - 9:00PM ,7 ,1500 ,3 ,3 ,3 ,Full-Time ,4 ,0
Corporate Innovation and New Ventures ,Spring 2018 ,"Earle, Jr., Paul" ,KIEI-903-0 (30) ,Spring 2018 Bidding Phase I ,KIEI ,Chicago ,Mon 6:00PM - 9:00PM ,7 ,1500 ,3 ,3 ,3 ,Full-Time ,4 ,0
Negotiations Fundamentals ,Spring 2018 ,"Finkel, Eli" ,MORS-472-5 (80) ,Spring 2018 Bidding Phase I ,MORS ,Evanston ,Fri 1:30PM - 4:30PM ,5 ,1500 ,3 ,3 ,3 ,Weekend ,2 ,0
Selling Yourself and Your Ideas ,Spring 2018 ,"Wortmann, Craig" ,KACI-940-0 (80) ,Spring 2018 Bidding Phase I ,KACI ,Evanston ,Mon 6:30PM - 9:30PM ,24 ,1400 ,7 ,7 ,7 ,Evening ,17 ,0
Strategic Brand Management ,Spring 2018 ,"Chernev, Alexander" ,MKTG-473-0 (61) ,Spring 2018 Bidding Phase II ,MKTG ,Evanston ,Tue 1:30PM - 4:30PM ,21 ,1396 ,2 ,65 ,2 ,Full-Time ,19 ,0
"Mergers and Acquisitions, LBOs and Corporate Restructuring" ,Spring 2018 ,"Liberti, Jose Maria" ,FINC-448-0 (80) ,Spring 2018 Bidding Phase II ,FINC ,Evanston ,Tue 6:30PM - 9:30PM ,1 ,1334 ,1 ,3 ,1 ,Weekend ,0 ,0
Selling Yourself and Your Ideas ,Spring 2018 ,"Wortmann, Craig" ,KACI-940-0 (80) ,Spring 2018 Bidding Phase I ,KACI ,Evanston ,Mon 6:30PM - 9:30PM ,271 ,1291 ,59 ,62 ,59 ,Full-Time ,212 ,0
Customer Analytics ,Spring 2018 ,"McShane, Blake" ,MKTG-482-0 (61) ,Spring 2018 Bidding Phase II ,MKTG ,Evanston ,Tue/Fri 8:30AM - 10:00AM ,16 ,1239 ,2 ,65 ,2 ,Full-Time ,14 ,0
Personal Leadership Insights ,Spring 2018 ,"Murnane, Kevin" ,KACI-461-5 (91) ,Spring 2018 Bidding Phase II ,KACI ,Evanston ,Tue 6:30PM - 8:00PM ,33 ,1228 ,6 ,12 ,6 ,Full-Time ,27 ,0
"Power In Organizations: Sources, Strategies and Skills" ,Spring 2018 ,"Weber, Klaus" ,MORS-453-0 (61) ,Spring 2018 Bidding Phase II ,MORS ,Evanston ,Tue/Fri 10:30AM - 12:00PM ,20 ,1191 ,1 ,65 ,1 ,Full-Time ,19 ,0
Negotiations Fundamentals ,Spring 2018 ,"Finkel, Eli" ,MORS-472-5 (80) ,Spring 2018 Bidding Phase I ,MORS ,Evanston ,Fri 1:30PM - 4:30PM ,106 ,1113 ,30 ,31 ,30 ,Full-Time ,76 ,0
Managerial Leadership ,Spring 2018 ,"Kraemer, Harry" ,KACI-468-0 (70) ,Spring 2018 Bidding Phase I ,KACI ,Chicago ,Wed 6:00PM - 9:00PM ,118 ,1100 ,90 ,90 ,90 ,Evening ,28 ,0
Negotiations Fundamentals ,Spring 2018 ,"Finkel, Eli" ,MORS-472-5 (62) ,Spring 2018 Bidding Phase I ,MORS ,Evanston ,Tue 1:30PM - 4:30PM ,95 ,1037 ,35 ,36 ,35 ,Full-Time ,60 ,0
Persuasive Presentations ,Spring 2018 ,"Van Camp, Karen" ,KACI-450-0 (81) ,Spring 2018 Bidding Phase I ,KACI ,Evanston ,Tue 6:30PM - 9:30PM ,7 ,1003 ,5 ,5 ,5 ,Evening ,2 ,0
Launching and Leading Startups ,Spring 2018 ,"Cast, Carter" ,KIEI-967-0 (70) ,Spring 2018 Bidding Phase I ,KIEI ,Chicago ,Mon 6:00PM - 9:00PM ,13 ,1003 ,7 ,7 ,7 ,Weekend ,6 ,0
Digital Marketing Analytics ,Spring 2018 ,"Cutler, Jennifer" ,MKTG-955-0 (89) ,Spring 2018 Bidding Phase II ,MKTG ,Evanston ,Thu 6:30PM - 9:30PM ,23 ,987 ,2 ,57 ,2 ,Full-Time ,15 ,0
Urban Economic Development and Real Estate Market Analysis ,Spring 2018 ,"Mattoon, Richard" ,REAL-443-5 (80) ,Spring 2018 Bidding Phase II ,REAL ,Evanston ,Thu 6:30PM - 9:30PM ,33 ,974 ,5 ,50 ,5 ,Full-Time ,28 ,0
Competitive Strategy and Industrial Structure ,Spring 2018 ,"Salant, Yuval" ,MECN-441-0 (62) ,Spring 2018 Bidding Phase II ,MECN ,Evanston ,Mon/Thu 3:30PM - 5:00PM ,24 ,900 ,2 ,65 ,2 ,Full-Time ,22 ,0
Visualization for Persuasion ,Spring 2018 ,"Franconeri, Steven" ,KACI-925-5 (80) ,Spring 2018 Bidding Phase I ,KACI ,Evanston ,Fri 1:30PM - 4:30PM ,5 ,900 ,2 ,2 ,2 ,Evening ,3 ,0
Personal Leadership Insights ,Spring 2018 ,"Carroll, Shana" ,KACI-461-5 (61) ,Spring 2018 Bidding Phase II ,KACI ,Evanston ,Thu 3:30PM - 5:00PM ,16 ,821 ,7 ,12 ,7 ,Full-Time ,9 ,0
Finance II ,Spring 2018 ,"Mezzanotti, Filippo" ,FINC-431-0 (61) ,Spring 2018 Bidding Phase II ,FINC ,Evanston ,Tue/Fri 8:30AM - 10:00AM ,5 ,805 ,2 ,50 ,2 ,Full-Time ,3 ,0
Visualization for Persuasion ,Spring 2018 ,"Franconeri, Steven" ,KACI-925-5 (81) ,Spring 2018 Bidding Phase I ,KACI ,Evanston ,Thu 6:30PM - 9:30PM ,178 ,793 ,59 ,60 ,59 ,Full-Time ,119 ,0
Visualization for Persuasion ,Spring 2018 ,"Franconeri, Steven" ,KACI-925-5 (80) ,Spring 2018 Bidding Phase I ,KACI ,Evanston ,Fri 1:30PM - 4:30PM ,134 ,759 ,59 ,62 ,59 ,Full-Time ,75 ,0
Visualization for Persuasion ,Spring 2018 ,"Franconeri, Steven" ,KACI-925-5 (80) ,Spring 2018 Bidding Phase I ,KACI ,Evanston ,Fri 1:30PM - 4:30PM ,7 ,755 ,6 ,6 ,6 ,Weekend ,1 ,0
Visualization for Persuasion ,Spring 2018 ,"Franconeri, Steven" ,KACI-925-5 (81) ,Spring 2018 Bidding Phase I ,KACI ,Evanston ,Thu 6:30PM - 9:30PM ,30 ,750 ,10 ,10 ,10 ,Evening ,20 ,0
Negotiations Fundamentals ,Spring 2018 ,"Finkel, Eli" ,MORS-472-5 (89) ,Spring 2018 Bidding Phase I ,MORS ,Evanston ,Fri 1:30PM - 4:30PM ,53 ,750 ,30 ,31 ,30 ,Full-Time ,23 ,0
Early Stage Impact Investing ,Spring 2018 ,"Seitz, Tasha" ,KPPI-940-0 (81) ,Spring 2018 Bidding Phase I ,KPPI ,Evanston ,Tue 6:30PM - 9:30PM ,6 ,667 ,5 ,5 ,5 ,Evening ,1 ,0
Financial Modeling for Leveraged Buyout Transactions ,Spring 2018 ,"Saraiya, Chirag" ,FINC-940-5 (81) ,Spring 2018 Bidding Phase II ,FINC ,Evanston ,Tue 6:30PM - 9:30PM ,34 ,634 ,11 ,57 ,11 ,Full-Time ,23 ,0
Personal Leadership Insights ,Spring 2018 ,"Ellington Booth, Brenda" ,KACI-461-5 (65) ,Spring 2018 Bidding Phase I ,KACI ,Evanston ,Mon 3:30PM - 5:00PM ,31 ,627 ,12 ,12 ,12 ,Full-Time ,19 ,0
Retail Analytics and Pricing ,Spring 2018 ,"Gordon, Brett" ,MKTG-462-0 (80) ,Spring 2018 Bidding Phase II ,MKTG ,Evanston ,Fri 1:30PM - 4:30PM ,21 ,600 ,6 ,55 ,6 ,Full-Time ,15 ,0
Marketing Strategy for Growth and Defense ,Spring 2018 ,"Calkins, Timothy" ,MKTG-466-0 (62) ,Spring 2018 Bidding Phase I ,MKTG ,Evanston ,Mon/Thu 10:30AM - 12:00PM ,97 ,545 ,62 ,65 ,62 ,Full-Time ,35 ,0
"Mergers and Acquisitions, LBOs and Corporate Restructuring" ,Spring 2018 ,"Liberti, Jose Maria" ,FINC-448-0 (80) ,Spring 2018 Bidding Phase I ,FINC ,Evanston ,Tue 6:30PM - 9:30PM ,7 ,501 ,5 ,5 ,5 ,Evening ,2 ,0
Corporate Innovation and New Ventures ,Spring 2018 ,"DeBiase, Dean" ,KIEI-903-0 (30) ,Spring 2018 Bidding Phase I ,KIEI ,Chicago ,Mon 6:00PM - 9:00PM ,4 ,500 ,2 ,2 ,2 ,Weekend ,2 ,0
Corporate Innovation and New Ventures ,Spring 2018 ,"Earle, Jr., Paul" ,KIEI-903-0 (30) ,Spring 2018 Bidding Phase I ,KIEI ,Chicago ,Mon 6:00PM - 9:00PM ,4 ,500 ,2 ,2 ,2 ,Weekend ,2 ,0
Persuasive Presentations ,Spring 2018 ,"Van Camp, Karen" ,KACI-450-0 (81) ,Spring 2018 Bidding Phase I ,KACI ,Evanston ,Tue 6:30PM - 9:30PM ,70 ,498 ,31 ,31 ,31 ,Full-Time ,39 ,0
Persuasive Presentations ,Spring 2018 ,"Van Camp, Karen" ,KACI-450-0 (91) ,Spring 2018 Bidding Phase I ,KACI ,Evanston ,Wed 6:30PM - 9:30PM ,59 ,472 ,35 ,36 ,35 ,Full-Time ,24 ,0
Product Management for Technology Companies: An Entrepreneurial Perspective ,Spring 2018 ,"Sawhney, Mohanbir" ,KIEI-458-0 (62) ,Spring 2018 Bidding Phase II ,KIEI ,Evanston ,Tue/Fri 10:30AM - 12:00PM ,23 ,467 ,9 ,65 ,9 ,Full-Time ,11 ,0
Marketing Strategy for Growth and Defense ,Spring 2018 ,"Calkins, Timothy" ,MKTG-466-0 (61) ,Spring 2018 Bidding Phase I ,MKTG ,Evanston ,Mon/Thu 8:30AM - 10:00AM ,120 ,467 ,62 ,65 ,62 ,Full-Time ,58 ,0
Persuasive Presentations ,Spring 2018 ,"Van Camp, Karen" ,KACI-450-0 (71) ,Spring 2018 Bidding Phase I ,KACI ,Chicago ,Mon 6:00PM - 9:00PM ,45 ,422 ,36 ,36 ,36 ,Evening ,9 ,0
The Rookie General Manager ,Spring 2018 ,"White, William" ,OPNS-925-5 (61) ,Spring 2018 Bidding Phase I ,OPNS ,Evanston ,Mon/Thu 3:30PM - 5:00PM ,183 ,411 ,68 ,70 ,68 ,Full-Time ,115 ,0
Analytical Decision Modeling ,Spring 2018 ,"Islegen, Ozge" ,OPNS-450-0 (61) ,Spring 2018 Bidding Phase II ,OPNS ,Evanston ,Tue/Fri 10:30AM - 12:00PM ,9 ,402 ,4 ,65 ,4 ,Full-Time ,2 ,0
Personal Leadership Insights ,Spring 2018 ,"Murnane, Kevin" ,KACI-461-5 (92) ,Spring 2018 Bidding Phase I ,KACI ,Evanston ,Thu 6:30PM - 8:00PM ,22 ,401 ,12 ,12 ,12 ,Full-Time ,10 ,0
Negotiations Fundamentals ,Spring 2018 ,"Finkel, Eli" ,MORS-472-5 (89) ,Spring 2018 Bidding Phase I ,MORS ,Evanston ,Fri 1:30PM - 4:30PM ,4 ,401 ,2 ,2 ,2 ,Evening ,2 ,0
Managerial Leadership ,Spring 2018 ,"Kraemer, Harry" ,KACI-468-0 (70) ,Spring 2018 Bidding Phase I ,KACI ,Chicago ,Wed 6:00PM - 9:00PM ,12 ,400 ,10 ,10 ,10 ,Weekend ,2 ,0
Launching and Leading Startups ,Spring 2018 ,"Cast, Carter" ,KIEI-967-0 (70) ,Spring 2018 Bidding Phase I ,KIEI ,Chicago ,Mon 6:00PM - 9:00PM ,46 ,400 ,43 ,43 ,43 ,Evening ,3 ,0
Operations Management ,Spring 2018 ,"Bassamboo, Achal" ,OPNS-430-0 (62) ,Spring 2018 Bidding Phase I ,OPNS ,Evanston ,Mon/Thu 10:30AM - 12:00PM ,151 ,380 ,65 ,65 ,65 ,Full-Time ,86 ,0
Personal Leadership Insights ,Spring 2018 ,"Langewisch, Robert" ,KACI-461-5 (67) ,Spring 2018 Bidding Phase I ,KACI ,Evanston ,Tue 10:30AM - 12:00PM ,25 ,376 ,12 ,12 ,12 ,Full-Time ,13 ,0
Personal Leadership Insights ,Spring 2018 ,"Corona, Paul" ,KACI-461-5 (63) ,Spring 2018 Bidding Phase I ,KACI ,Evanston ,Fri 10:30AM - 12:00PM ,18 ,351 ,12 ,12 ,12 ,Full-Time ,6 ,0
